start_station_name,cluster,lat,lng,total_count
Greenwood Ave & 47th St,2,41.809833849724754,-87.59938105116362,1693
Griffin Museum of Science and Industry,2,41.791729408542444,-87.58394569722768,5732
Halsted St & 18th St,2,41.85750755561014,-87.64599713048061,4226
Halsted St & 21st St,0,41.853780645114114,-87.64660305783293,2280
Halsted St & 35th St,0,41.83066142955573,-87.64717109950259,2521
Halsted St & 37th St,0,41.82705891863707,-87.64571959993613,642
Halsted St & Archer Ave,0,41.84720268831904,-87.64679617575909,2611
Halsted St & Armitage Ave,0,41.91822944340517,-87.64878940237338,3522
Halsted St & Belden St,0,41.92365062787371,-87.6489422724501,3009
Halsted St & Clybourn Ave,2,41.9096650586383,-87.6481287464174,16967
Halsted St & Court Pl,0,41.88370094155113,-87.64721766117235,528
Halsted St & Dickens Ave,2,41.919936546667145,-87.64883119197786,10341
Halsted St & Fulton St,0,41.88683857303648,-87.6479304722847,11240
Halsted St & Lake St,0,41.88579621843155,-87.64713390650535,1965
Halsted St & Maxwell St,2,41.86488199022891,-87.64707153683277,7722
Halsted St & Melrose St,0,41.94111997950119,-87.64907105736923,1402
Halsted St & North Branch St,1,41.89947552584164,-87.6487080673412,1404
Halsted St & Polk St,2,41.8718396096955,-87.64663980016704,9711
Halsted St & Roosevelt Rd,1,41.86732538311023,-87.64862555267948,5725
Halsted St & Roscoe St,0,41.94367049944237,-87.6489460501054,14099
Halsted St & Willow St,2,41.91386502194353,-87.64875706033195,8429
Halsted St & Wrightwood Ave,0,41.92914316021239,-87.64907969566849,13532
Hampden Ct & Diversey Ave,0,41.93254830230012,-87.64239597006787,1606
Hampden Ct & Diversey Pkwy,2,41.93246984058679,-87.64242601309921,6105
Harper Ave & 55th St,2,41.79529978478388,-87.5883305794813,2494
Harper Ave & 59th St,2,41.787941946518615,-87.58831430196423,2560
Hermitage Ave & Polk St,1,41.87151419129565,-87.66988691630748,5246
Honore St & Division St,2,41.90311879392027,-87.67393276161307,9386
Hoyne Ave & 47th St,0,41.808227086156585,-87.67717999522064,562
Hoyne Ave & Balmoral Ave,2,41.97985243160892,-87.68193217180631,2153
Hudson Ave & Armitage Ave,2,41.918175146594656,-87.64000007403838,3222
Humboldt Blvd & Armitage Ave,0,41.91751332601519,-87.70180955375297,4728
Indiana Ave & 26th St,2,41.84568737925868,-87.62248198081355,2478
Indiana Ave & 31st St,2,41.838841262388826,-87.62185702223647,1700
Indiana Ave & Roosevelt Rd,2,41.86788975884727,-87.62304124574118,20736
Jefferson St & Monroe St,2,41.88033045410587,-87.64274673185544,6823
Jeffery Blvd & 67th St,2,41.773517224214956,-87.57714885789906,535
Karlov Ave & Armitage Ave,1,41.91747945199761,-87.72895298429187,836
Karlov Ave & Lawrence Ave,0,41.96794638482525,-87.73040855893397,515
Kedzie Ave & 21st St,0,41.853533632458415,-87.70507298240247,647
Kedzie Ave & 48th Pl,0,41.80475805414942,-87.70421831510028,810
Kedzie Ave & Armitage Ave,0,41.91758896588951,-87.70685187504843,1611
Kedzie Ave & Bryn Mawr Ave,2,41.98223023972303,-87.70888709382648,904
Kedzie Ave & Chicago Ave,2,41.89546544458632,-87.70612868107379,698
Kedzie Ave & Foster Ave,2,41.97567231830129,-87.70926134894746,1009
Kedzie Ave & George St,2,41.933887115710014,-87.70726011765028,1607
Kedzie Ave & Lake St,0,41.88460969798848,-87.70630559361626,566
Kedzie Ave & Leland Ave,2,41.966686767984186,-87.70805300502396,1862
Kedzie Ave & Milwaukee Ave,0,41.92920607817709,-87.70801681030136,10164
Kedzie Ave & Palmer Ct,2,41.92152513447674,-87.70732294139343,4449
Kenneth Ave & Lawrence Ave,2,41.967925549838924,-87.73998352105201,596
Kenwood Ave & 57th St,2,41.791540105431274,-87.59294725754138,1426
Keystone Ave & Fullerton Ave,1,41.92458888955112,-87.72785135519648,1252
Keystone Ave & Montrose Ave,2,41.96110724142094,-87.72897095779553,1025
Kilbourn Ave & Belden Ave,2,41.92236750231495,-87.73902349452314,562
Kilbourn Ave & Irving Park Rd,2,41.95373356964444,-87.7405697135265,585
Kilbourn Ave & Milwaukee Ave,1,41.948094516355425,-87.74002313446745,520
Kildare Ave & Montrose Ave,0,41.96108003895867,-87.73569081352306,629
Kimball Ave & Belmont Ave,0,41.93939385344901,-87.71207038856961,3901
Kimbark Ave & 53rd St,2,41.79945687695859,-87.59477689895927,12790
Kingsbury St & Erie St,2,41.893906942457456,-87.64173705104989,20241
Kingsbury St & Kinzie St,2,41.889170465851954,-87.6384983656876,30671
Kingsbury St & Kinzie St 1,2,41.88907115462726,-87.63835386461338,5473
Kingsbury St & Kinzie St 2,2,41.889187361526325,-87.63839084208944,6570
Knox Ave & Montrose Ave,0,41.96063155680631,-87.74535993566812,919
Kosciuszko Park,2,41.930584651149765,-87.72377859500843,2077
Kostner Ave & Wrightwood Ave,1,41.92795729763955,-87.73595292215526,541
LaSalle Dr & Huron St,2,41.894873389430245,-87.63232639328398,10594
LaSalle St & Adams St,1,41.87935035366398,-87.63198073460508,4750
LaSalle St & Adams St Corral,1,41.87938666898957,-87.63207438271115,959
LaSalle St & Calhoun Pl ,1,41.88266300716715,-87.63252883856819,3087
